AnswerID,Values
521,5
522,0
525,3
526,0
529,2
530,0
533,2
534,0
537,1
538,0
541,1
542,0
545,1
546,0
549,3
550,0
553,1
554,0
557,2
558,0
561,3
562,0
565,1
566,0
569,1
570,0
573,2
574,0
577,1
578,0
581,1
582,0
585,4
586,0
589,2
590,0
593,2
594,0
597,2
598,0
641,8
642,0
643,0
645,2
646,0
649,2
650,0
653,1
654,0
657,2
658,0
661,4
662,0
665,3
666,0
669,5
670,0
673,3
674,0
677,2
678,0
681,4
682,0
689,3
690,0
693,2
694,0
874,2
875,0
876,3
877,0
878,1
879,0
880,1
881,0
882,2
883,0
884,2
885,0
889,2
890,0
891,1
892,0
893,1
894,0
896,1
897,0
898,4
899,0
902,2
903,0
904,1
905,0
910,2
911,0
917,2
918,0
919,4
920,0
921,2
922,0
923,1
924,0
926,1
927,0
